"code","nom","adresse","latitude","longitude","horaires","jours_ouvert","image_url","email","telephone","ispmr","zone","paiement","acces","ouvert","actif","region.code","region.libelle","type.code","type.libelle"
170,"Cafétéria Le Parc - Le Kiosque","5, avenue du parc - 95000 Cergy Pontoise",49.033447,2.072881,"8h-14h","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/170/preview",NA,"01.30.75.11.65",TRUE,"Val d'oise","Carte bancaire, IZLY","",TRUE,NA,6,"Versailles",2,"Cafétéria"
1584,"RU Lieu de Vie","13, bis rue Joliot Curie 91190 Gif-sur-Yvette",48.709633,2.1712196,"11h30-14h","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1584/preview",NA,NA,FALSE,"Essonne","IZLY","",TRUE,NA,6,"Versailles",1,"Restaurant"
12,"Crous Cafet' Le Sirtaki ","23 esplanade des Antilles à Pessac",44.79574,-0.615998,"SELF : 11h15-13h45, CROUS & GO' : 11h30-14h30 (commande jusqu'à 11h30), SNACKING : 7h45-10h | 14h30-17h, MOOVY MARKET' 2 : 10h-14h","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/12/preview","ru-sirtaki@crous-bordeaux.fr","05.57.96.76.77",TRUE,"Pessac","Carte bancaire, IZLY","Tram B - Arrêt 'Montaigne Montesquieu'",TRUE,NA,1,"Bordeaux",1,"Restaurant"
1686,"CROUS AND GO - Point de Collecte - ",NA,46.56965,0.37746,"Commande à passer avant 10h30., Horaires de retrait du lundi au vendredi :, Thériaque : de 11h à 14h, IUT Sablières : de 12h à 13h30, La pyramide : de 11h30 à 14","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1686/preview",NA,NA,TRUE,"Poitiers campus","IZLY","",TRUE,NA,2,"Poitiers",6,"Libre-service"
1135,"Cafet' Arum","5, allée Antonio Machado 31058 Toulouse",43.57667,1.40112,"Du lundi au vendredi de 7h30 à 15h et de 17h à 20h30, Attention, ces horaires sont susceptibles d'évoluer.","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1135/preview","restaurant.mirail@crous-toulouse.fr","05.61.12.55.78",TRUE,"Toulouse","Carte bancaire, IZLY","Métro ligne A - Station Mirail université",TRUE,NA,5,"Toulouse",2,"Cafétéria"
400,"RU Campus St Denis ","2 rue de la Liberté - 93200 Saint-Denis",48.94552,2.363906,"Ouverture de 11h30 à 14h00","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)",NA,"restaurant.paris8@crous-creteil.fr",NA,TRUE,"Saint-denis","Espèces, Carte bancaire","",TRUE,NA,13,"Créteil",1,"Restaurant"
118,"Resto U' Arsenal","2 Boulevard Armand Duportal, 31000 Toulouse",43.60563,1.436063,"Du lundi au vendredi de 11h15 à 14h00 et de 18h30 à 21h00., Et le week-end de 11h30 à 13h30 et de 18h30 à 20h15., Attention, ces horaires sont susceptibles d'évoluer.","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE), c(TRUE, TRUE, TRUE, TRUE, TRUE, TRUE, TRUE)","https://api.croustillant.menu/v1/restaurants/118/preview","restaurant.arsenal@crous-toulouse.fr","05.62.25.62.53",TRUE,"Toulouse","Carte bancaire, IZLY","Métro ligne B - Station Compans-Caffarelli., Métro ligne A station Capitole, Bus 16,70,71.",TRUE,NA,5,"Toulouse",1,"Restaurant"
356,"CAFETERIA LA TERRASSE","25 rue Etienne-Dolet 63037 Clermont-Ferrand Cedex 1",45.76435,3.086726,"Ouverture du lundi au vendredi de 9h30 à 14h (pour la vente à emporter) - de 11h30 à 13h30 (pour le repas sur place)","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/356/preview","restaurant-dolet@crous-clermont.fr","04.73.34.44.28",TRUE,"Rdo - centre-ville","Espèces, Carte bancaire","Ligne : tram A / Arret : Saint-Jacques/Dolet",TRUE,NA,11,"Clermont-Ferrand",2,"Cafétéria"
1459,"RU BriffO' - Valence","32 rue Barthelemy de Laffemas 26000 Valence",44.918304,4.915696,"Ouvert du lundi au vendredi de 11h30 à 13h30 (fermé le soir)","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1459/preview",NA,"04.75.56.48.18",FALSE,"Valence","Carte bancaire, IZLY","Bus C4/C5/L7/L13/L20/L23C - Briffaut",TRUE,NA,15,"Grenoble",1,"Restaurant"
418,"RU L'Illustration","74 rue Marcel Cachin - 93000 Bobigny",48.913177,2.419074,"","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/418/preview","restaurant.bobigny@crous-creteil.fr",NA,TRUE,"Bobigny","Carte bancaire, IZLY","Bus 134/234 Les Courtillères ou Tram: Hôpital Avicenne",TRUE,NA,13,"Créteil",1,"Restaurant"
746,"RU Turly","74 rue de Turly 18000 Bourges",47.09871,2.4167147,"Ouvert de 11h45 à 13h15.","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/746/preview",NA,NA,FALSE,"Bourges","Carte bancaire, IZLY","",TRUE,NA,21,"Orléans-Tours",1,"Restaurant"
592,"Restaurant École Centrale de Lyon ","51 chemin des Mouilles - 69130 Ecully",45.78395,4.770857,"Du lundi au vendredi, 11h30 à 13h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/592/preview","restaurant.ecl@crous-lyon.fr","04.72.18.63.88",TRUE,"Ecole centrale","Carte bancaire, IZLY","Bus ligne 55, C6  - Arrêt Campus Lyon Ouest",TRUE,NA,17,"Lyon",1,"Restaurant"
2327,"Restaurant agrée - Centre Hospitalier Pierre OUDOT - Bourgoin-Jallieu","30, avenue Médipôle - 38300 Bourgoin-Jallieu",45.59662,5.24515,"","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)",NA,NA,NA,TRUE,"Nord isère","Carte bancaire","",TRUE,NA,15,"Grenoble",4,"Restaurant agréé"
653,"Resto U' Richter ","80 rue Brumaire - 34000 Montpellier",43.602993,3.8989596,"du lundi au vendredi de 11h30 à 13h30.","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/653/preview","ru.richter@crous-montpellier.fr","04.67.15.84.47",TRUE,"Montpellier","Carte bancaire, IZLY","Tramway ligne 1, ligne 3 - arrêt Port Marianne.",TRUE,NA,18,"Montpellier",1,"Restaurant"
15,"Crous Market' Le Musée","3 ter, Place de la Victoire à Bordeaux",44.83133,-0.572258,"du lundi au vendredi, 8h-16h45","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/15/preview",NA,NA,TRUE,"Bordeaux","Carte bancaire, IZLY","Tram B - Arrêt Victoire- http://www.infotbm.com/",TRUE,NA,1,"Bordeaux",2,"Cafétéria"
2118,"Besançon • Resto U' Hauts du Chazal","22 rue ambroise paré, 25000 besancon",47.224392,5.957555,"restauration traditionnelle : le midi de 12h à 13h30, Cafétéria mini R de 7h30 à 14h","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/2118/preview","pole-restauration-besancon@crous-bfc.fr","03.81.48.45.45",TRUE,"Besançon","Carte bancaire, IZLY","",TRUE,NA,30,"Bourgogne Franche Comte",1,"Restaurant"
1566,"Event'Café","12 place d'Armes - La Citadelle, 80000 AMIENS",49.90429,2.298699,"9h - 17h","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1566/preview","ru.amiens-centre.secretariat@crous-amiens.fr","03.22.71.24.87",TRUE,"Amiens centre","Carte bancaire, IZLY","",TRUE,NA,7,"Amiens",2,"Cafétéria"
1602,"Crous Market' du DUSA","Avenue Michel Serres",44.18582,0.625427,"11h30 - 13h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1602/preview",NA,NA,TRUE,"Lot et garonne","Carte bancaire, IZLY","",TRUE,NA,1,"Bordeaux",3,"épicerie"
166,"Cafétéria La Sandwicherie","Bât F, 200 avenue de la République - 92000 Nanterre",48.904728,2.20883,"08h-15h","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/166/preview",NA,"01.40.97.47.26",FALSE,"Hauts de seine","Carte bancaire, IZLY","",TRUE,NA,6,"Versailles",2,"Cafétéria"
1660,"Crous Market' BUST","1 Allée Baudrimont Bât. B20, 33400 Talence",44.806644,-0.601842,"du lundi au vendredi : 09h00 - 17h45","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1660/preview",NA,NA,TRUE,"Talence","Carte bancaire, IZLY","",TRUE,NA,1,"Bordeaux",3,"épicerie"
181,"Cafétéria de La Poste","Institut de la poste Rue du Facteur Cheval - 91000 Evry",48.631092,2.4312172,"8h15-14h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/181/preview",NA,"01.67.47.78.14",TRUE,"Essonne","Carte bancaire, IZLY","",TRUE,NA,6,"Versailles",2,"Cafétéria"
1590,"Moovy Market","74 rue Marcel Cachin - 93000 Bobigny",48.91281,2.420104,"De 9h00 à 16h00","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, FALSE, TRUE, FALSE, FALSE), c(TRUE, TRUE, FALSE, FALSE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)",NA,"restaurant.bobigny@crous-creteil.fr",NA,FALSE,"Bobigny","Carte bancaire, IZLY","Bus 134/234 Les Courtillères ou Tram: Hôpital Avicenne",TRUE,NA,13,"Créteil",7,"Foodtruck"
2298,"Lycée Jean-Baptiste de Baudre","5 allée Pierre Pomarède, 47916 Agen CEDEX 9",44.19874,0.6119848,"","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)",NA,NA,NA,TRUE,"Lot et garonne","","",TRUE,NA,1,"Bordeaux",4,"Restaurant agréé"
1476,"Jacob Café - Jacob-Bellecombette Chambéry","3 Rue Jean Baptiste Richard 73000 Jacob-Bellecombette",45.558292,5.909288,"du lundi au jeudi 7h30-17H00, vendredi : 7h30 -15h","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/1476/preview",NA,NA,TRUE,"Chambery","Carte bancaire, IZLY","",TRUE,NA,15,"Grenoble",2,"Cafétéria"
752,"Cafétéria de l'OSUC",NA,47.832817,1.941793,"Ouvert de 11h30 à 14h.","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/752/preview",NA,NA,FALSE,"Orléans","Carte bancaire, IZLY","",TRUE,NA,21,"Orléans-Tours",2,"Cafétéria"
2341,"Restaurant du lycée Jean-Mermoz ","53 rue du Docteur Marcel Hurst 68301 Saint-Louis",47.576374,7.55503,"Du lundi au vendredi  :, Matin : 7h à 7h30, - Midi : 11h à 13h15, - Soir : 18h10 à 18h20","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE)",NA,NA,NA,TRUE,"Mulhouse","Espèces, Carte bancaire","Tram de Bâle - ligne 3 - station Saint-Exupery)",TRUE,NA,25,"Strasbourg",4,"Restaurant agréé"
71,"Brasserie PORTE OCEANE","30 rue Demidoff - 76600 Le Havre",49.49799,0.1335174,"11h30 -13h30","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)","https://api.croustillant.menu/v1/restaurants/71/preview","resto-porteoceane@crous-normandie.fr","02.35.53.29.12",TRUE,"Le havre","Carte bancaire, IZLY","Bus - Ligne 9, Station des Beaux Arts",TRUE,NA,31,"Normandie",1,"Restaurant"
2379,"Centre Hospitalier Général Falaise","Bd des Bercagnes, 14700 Falaise",48.892776,-0.2018892,"","c(""Lundi"", ""Mardi"", ""Mercredi"", ""Jeudi"", ""Vendredi"", ""Samedi"", ""Dimanche""), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE), c(TRUE, TRUE, TRUE, TRUE, TRUE, FALSE, FALSE), c(FALSE, FALSE, FALSE, FALSE, FALSE, FALSE, FALSE)",NA,NA,NA,NA,"Falaise","","",TRUE,NA,31,"Normandie",4,"Restaurant agréé"
